Order_ID,Order_Date,Buyer_ID,Fabric_Type,Category,Quantity_Kg,Unit_Price_USD,Total_Value_USD,Order_Status,Production_Days,Shipping_Days,Actual_Lead_Days,Payment_Terms_Days,Season,Year,Month,Quarter
ORD_00079,2023-02-06,BUYER_033,Fleece,Knit,2000,8.78,17569.42,Completed,39,37,72,30,Autumn,2023,2,Q1
ORD_00080,2023-02-06,BUYER_019,Cotton_Polyester_Blend,Woven,3197,7.7,24608.61,On_Hold,25,27,55,45,Winter,2023,2,Q1
ORD_00081,2023-02-06,BUYER_027,Terry_Cloth,Knit,5586,4.85,27114.79,Completed,16,37,51,45,Autumn,2023,2,Q1
ORD_00082,2023-02-06,BUYER_033,Cotton_Plain,Woven,1329,8.45,11230.26,Completed,20,39,57,30,Spring,2023,2,Q1
ORD_00083,2023-02-06,BUYER_042,Linen,Woven,5042,13.47,67893.24,Completed,39,24,64,30,Summer,2023,2,Q1
ORD_00084,2023-02-07,BUYER_039,Polyester_Satin,Woven,13671,6.14,83950.46,Shipped,41,16,64,60,Autumn,2023,2,Q1
ORD_00085,2023-02-07,BUYER_002,Polyester_Twill,Woven,5000,5.2,25993.66,Completed,28,35,58,60,Spring,2023,2,Q1
ORD_00086,2023-02-08,BUYER_034,Cotton_Polyester_Blend,Woven,2202,7.97,17558.62,Completed,25,42,72,30,Spring,2023,2,Q1
ORD_00087,2023-02-08,BUYER_037,Cotton_Twill,Woven,1600,8.12,12993.18,In_Production,28,18,51,45,Winter,2023,2,Q1
ORD_00088,2023-02-09,BUYER_034,Terry_Cloth,Knit,1000,4.72,4719.04,Completed,16,33,45,30,Winter,2023,2,Q1
ORD_00089,2023-02-09,BUYER_044,Viscose_Rayon,Woven,4188,8.66,36251.6,Completed,17,20,33,30,Autumn,2023,2,Q1
ORD_00090,2023-02-09,BUYER_035,Cotton_Plain,Woven,1588,8.84,14035.39,Completed,20,24,42,60,Autumn,2023,2,Q1
ORD_00091,2023-02-09,BUYER_044,Cotton_Polyester_Blend,Woven,1813,7.78,14099.2,In_Production,25,20,47,30,Winter,2023,2,Q1
ORD_00092,2023-02-10,BUYER_043,Cotton_Denim,Woven,2000,9.46,18926.15,Completed,43,38,88,90,Autumn,2023,2,Q1
ORD_00093,2023-02-13,BUYER_004,Linen,Woven,4197,13.32,55922.86,Completed,39,27,67,30,Autumn,2023,2,Q1
ORD_00094,2023-02-13,BUYER_031,Terry_Cloth,Knit,3532,5.08,17955.86,Completed,16,36,51,30,Summer,2023,2,Q1
ORD_00095,2023-02-14,BUYER_024,Linen,Woven,5327,12.85,68427.81,Completed,39,27,70,45,Spring,2023,2,Q1
ORD_00096,2023-02-15,BUYER_002,Viscose_Rayon,Woven,1689,8.55,14442.75,Completed,17,25,39,60,Winter,2023,2,Q1
ORD_00097,2023-02-15,BUYER_016,Silk_Blend,Woven,1256,20.74,26045.55,Shipped,30,15,50,30,Spring,2023,2,Q1
ORD_00098,2023-02-15,BUYER_042,Fleece,Knit,5567,7.79,43383.25,Shipped,39,27,61,30,Spring,2023,2,Q1
ORD_00099,2023-02-15,BUYER_002,Cotton_Plain,Woven,3173,7.83,24828.87,Completed,20,39,67,60,Winter,2023,2,Q1
ORD_00100,2023-02-16,BUYER_045,Viscose_Rayon,Woven,1802,9.01,16245.02,Completed,17,35,56,90,Spring,2023,2,Q1
ORD_00101,2023-02-16,BUYER_025,Polyester_Twill,Woven,5000,5.14,25710.49,Completed,28,26,55,30,Spring,2023,2,Q1
ORD_00102,2023-02-16,BUYER_012,Cotton_Twill,Woven,3905,8.32,32490.22,Completed,28,36,59,45,Summer,2023,2,Q1
ORD_00103,2023-02-16,BUYER_013,Polyester_Satin,Woven,3941,5.82,22920.28,Completed,41,28,71,30,Summer,2023,2,Q1
ORD_00104,2023-02-16,BUYER_040,Viscose_Rayon,Woven,4338,9.26,40176.98,Completed,17,31,56,90,Autumn,2023,2,Q1
ORD_00105,2023-02-16,BUYER_016,Cotton_Plain,Woven,2763,7.66,21168.66,Completed,20,20,40,30,Spring,2023,2,Q1
ORD_00106,2023-02-16,BUYER_030,Cotton_Plain,Woven,4964,8.25,40937.71,Completed,20,15,40,60,Summer,2023,2,Q1
ORD_00107,2023-02-17,BUYER_017,Viscose_Rayon,Woven,4823,8.05,38832.06,Completed,17,41,62,45,Spring,2023,2,Q1
ORD_00108,2023-02-17,BUYER_019,Cotton_Plain,Woven,2013,8.69,17495.71,Completed,20,33,54,45,Winter,2023,2,Q1
ORD_00109,2023-02-17,BUYER_033,Polyester_Twill,Woven,5000,5.46,27317.95,Completed,28,36,72,30,Winter,2023,2,Q1
ORD_00110,2023-02-17,BUYER_008,Linen,Woven,2000,11.91,23814.24,Completed,39,33,67,45,Spring,2023,2,Q1
ORD_00111,2023-02-17,BUYER_004,Linen,Woven,3248,12.02,39044.5,Shipped,39,31,70,30,Autumn,2023,2,Q1
ORD_00112,2023-02-18,BUYER_006,Cotton_Polyester_Blend,Woven,5198,7.5,38961.83,In_Production,25,35,66,45,Summer,2023,2,Q1
ORD_00113,2023-02-18,BUYER_022,Cotton_Twill,Woven,2522,7.75,19545.85,Completed,28,34,59,45,Summer,2023,2,Q1
ORD_00114,2023-02-18,BUYER_025,Silk_Blend,Woven,5762,18.92,109027.15,Completed,30,25,58,30,Summer,2023,2,Q1
ORD_00115,2023-02-20,BUYER_034,Fleece,Knit,2287,7.87,17998.09,Completed,39,30,69,30,Summer,2023,2,Q1
ORD_00116,2023-02-20,BUYER_019,Viscose_Rayon,Woven,4040,9.49,38345.7,In_Production,17,35,50,45,Autumn,2023,2,Q1
ORD_00117,2023-02-20,BUYER_008,Linen,Woven,3202,13.06,41818.98,Completed,39,38,80,45,Autumn,2023,2,Q1
ORD_00118,2023-02-20,BUYER_032,Linen,Woven,5885,12.6,74141.94,Completed,39,31,74,45,Summer,2023,2,Q1
ORD_00119,2023-02-21,BUYER_005,Cotton_Polyester_Blend,Woven,1296,7.39,9571.07,Completed,25,17,48,45,Autumn,2023,2,Q1
ORD_00120,2023-02-22,BUYER_003,Polyester_Satin,Woven,2477,5.98,14812.31,Completed,41,17,63,90,Spring,2023,2,Q1
ORD_00121,2023-02-22,BUYER_044,Polyester_Twill,Woven,5000,5.06,25278.06,In_Production,28,19,49,30,Winter,2023,2,Q1
ORD_00122,2023-02-22,BUYER_041,Polyester_Plain,Woven,5000,4.2,20995.11,Completed,32,24,51,45,Summer,2023,2,Q1
ORD_00123,2023-02-23,BUYER_004,Linen,Woven,4788,13.71,65620.93,Completed,39,30,65,30,Spring,2023,2,Q1
ORD_00124,2023-02-23,BUYER_001,Polyester_Plain,Woven,7579,4.02,30470.36,Completed,32,29,56,45,Autumn,2023,2,Q1
ORD_00125,2023-02-23,BUYER_004,Cotton_Twill,Woven,5474,7.61,41660.02,Shipped,28,36,60,30,Winter,2023,2,Q1
ORD_00126,2023-02-23,BUYER_010,Cotton_Twill,Woven,4418,8.22,36309.32,Completed,28,31,66,60,Spring,2023,2,Q1
ORD_00127,2023-02-24,BUYER_045,Fleece,Knit,2000,9.29,18585.67,Shipped,39,30,66,90,Winter,2023,2,Q1
ORD_00128,2023-02-24,BUYER_045,Fleece,Knit,2000,8.75,17491.74,Shipped,39,38,86,90,Summer,2023,2,Q1
ORD_00129,2023-02-24,BUYER_001,Cotton_Plain,Woven,11719,8.77,102717.66,Completed,20,26,47,45,Summer,2023,2,Q1
ORD_00130,2023-02-24,BUYER_024,Cotton_Polyester_Blend,Woven,2872,7.25,20827.11,Completed,25,38,58,45,Winter,2023,2,Q1
ORD_00131,2023-02-24,BUYER_028,Fleece,Knit,5581,9.41,52521.41,Completed,39,21,60,45,Winter,2023,2,Q1
ORD_00132,2023-02-24,BUYER_022,Cotton_Plain,Woven,1212,8.13,9858.31,Shipped,20,36,57,45,Winter,2023,2,Q1
ORD_00133,2023-02-27,BUYER_045,Cotton_Denim,Woven,2000,8.94,17877.59,Completed,43,25,66,90,Spring,2023,2,Q1
ORD_00134,2023-02-27,BUYER_033,Cotton_Denim,Woven,2962,9.58,28365.63,Completed,43,39,84,30,Autumn,2023,2,Q1
ORD_00135,2023-02-27,BUYER_034,Polyester_Satin,Woven,2567,6.62,17001.14,Completed,41,37,78,30,Summer,2023,2,Q1
ORD_00136,2023-02-27,BUYER_039,Cotton_Plain,Woven,11319,7.72,87340.66,Completed,20,16,37,60,Summer,2023,2,Q1
ORD_00137,2023-02-28,BUYER_007,Cotton_Twill,Woven,2426,7.68,18636.5,Completed,28,30,59,60,Summer,2023,2,Q1
ORD_00138,2023-02-28,BUYER_041,Cotton_Twill,Woven,4777,7.76,37045.65,Shipped,28,19,54,45,Winter,2023,2,Q1
ORD_00139,2023-02-28,BUYER_035,Polyester_Twill,Woven,5000,5.28,26388.75,Completed,28,15,42,60,Summer,2023,2,Q1
ORD_00140,2023-03-01,BUYER_042,Linen,Woven,4217,12.39,52258.42,Completed,39,23,71,30,Autumn,2023,3,Q1
ORD_00141,2023-03-01,BUYER_016,Fleece,Knit,2000,8.15,16295.23,Completed,39,22,68,30,Winter,2023,3,Q1
ORD_00142,2023-03-02,BUYER_022,Cotton_Twill,Woven,986,7.51,7405.45,Completed,28,25,57,45,Summer,2023,3,Q1
ORD_00143,2023-03-02,BUYER_011,Polyester_Satin,Woven,1965,5.95,11687.21,Completed,41,44,87,45,Summer,2023,3,Q1
ORD_00144,2023-03-03,BUYER_026,Polyester_Satin,Woven,2936,5.67,16651.15,Shipped,41,26,66,45,Spring,2023,3,Q1
ORD_00145,2023-03-03,BUYER_007,Cotton_Plain,Woven,1882,7.71,14515.05,Completed,20,46,66,60,Autumn,2023,3,Q1
ORD_00146,2023-03-03,BUYER_038,Cotton_Plain,Woven,949,7.42,7041.98,Completed,20,27,43,30,Winter,2023,3,Q1
ORD_00147,2023-03-04,BUYER_002,Cotton_Polyester_Blend,Woven,4148,6.34,26282.57,Completed,25,26,55,60,Summer,2023,3,Q1
ORD_00148,2023-03-06,BUYER_029,Cotton_Polyester_Blend,Woven,4414,7.25,32019.62,Completed,25,32,57,45,Winter,2023,3,Q1
ORD_00149,2023-03-06,BUYER_029,Cotton_Polyester_Blend,Woven,4790,6.33,30301.14,Cancelled,25,25,52,45,Winter,2023,3,Q1
ORD_00150,2023-03-06,BUYER_004,Polyester_Twill,Woven,5000,4.66,23283.33,Completed,28,39,66,30,Summer,2023,3,Q1
ORD_00151,2023-03-07,BUYER_014,Viscose_Rayon,Woven,1373,8.1,11120.87,Completed,17,27,51,30,Winter,2023,3,Q1
ORD_00152,2023-03-07,BUYER_032,Viscose_Rayon,Woven,2603,7.84,20416.5,Completed,17,35,51,45,Winter,2023,3,Q1
ORD_00153,2023-03-07,BUYER_036,Linen,Woven,4240,11.17,47344.22,Completed,39,39,79,90,Autumn,2023,3,Q1
ORD_00154,2023-03-07,BUYER_019,Linen,Woven,2088,12.14,25345.31,Shipped,39,25,69,45,Summer,2023,3,Q1
ORD_00155,2023-03-08,BUYER_003,Polyester_Satin,Woven,2475,5.64,13956.62,Completed,41,27,63,90,Spring,2023,3,Q1
ORD_00156,2023-03-08,BUYER_008,Cotton_Twill,Woven,2572,7.3,18776.42,Completed,28,29,61,45,Spring,2023,3,Q1
ORD_00157,2023-03-08,BUYER_039,Viscose_Rayon,Woven,7968,8.35,66504.78,Completed,17,15,35,60,Summer,2023,3,Q1
ORD_00158,2023-03-08,BUYER_009,Cotton_Twill,Woven,5284,7.61,40200.79,Completed,28,25,61,45,Summer,2023,3,Q1
ORD_00159,2023-03-08,BUYER_010,Cotton_Polyester_Blend,Woven,6001,7.09,42521.24,Completed,25,37,69,60,Spring,2023,3,Q1
ORD_00160,2023-03-08,BUYER_012,Polyester_Satin,Woven,1527,5.73,8745.09,Completed,41,27,64,45,Spring,2023,3,Q1
ORD_00161,2023-03-08,BUYER_016,Cotton_Polyester_Blend,Woven,1554,6.84,10623.28,Shipped,25,22,49,30,Winter,2023,3,Q1
ORD_00162,2023-03-08,BUYER_015,Terry_Cloth,Knit,1669,5.02,8373.59,Shipped,16,39,64,45,Summer,2023,3,Q1
ORD_00163,2023-03-09,BUYER_026,Fleece,Knit,4249,7.29,30979.06,Completed,39,37,78,45,Autumn,2023,3,Q1
ORD_00164,2023-03-09,BUYER_034,Fleece,Knit,2000,8.01,16015.23,Completed,39,48,84,30,Winter,2023,3,Q1
ORD_00165,2023-03-09,BUYER_031,Silk_Blend,Woven,2211,17.38,38435.6,Completed,30,32,65,30,Summer,2023,3,Q1
ORD_00166,2023-03-09,BUYER_013,Fleece,Knit,2000,7.99,15989.58,Completed,39,29,72,30,Autumn,2023,3,Q1
ORD_00167,2023-03-09,BUYER_017,Polyester_Twill,Woven,5000,4.6,23016.38,Completed,28,31,54,45,Autumn,2023,3,Q1
ORD_00168,2023-03-09,BUYER_029,Terry_Cloth,Knit,2255,4.47,10089.19,Completed,16,34,59,45,Winter,2023,3,Q1
ORD_00169,2023-03-11,BUYER_030,Cotton_Polyester_Blend,Woven,1332,6.81,9073.69,Completed,25,27,54,60,Winter,2023,3,Q1
ORD_00170,2023-03-12,BUYER_045,Cotton_Denim,Woven,2000,9.03,18054.6,Shipped,43,37,76,90,Winter,2023,3,Q1
ORD_00171,2023-03-13,BUYER_034,Fleece,Knit,2000,7.68,15353.96,Shipped,39,49,91,30,Summer,2023,3,Q1
ORD_00172,2023-03-14,BUYER_011,Linen,Woven,2000,11.94,23874.87,Completed,39,34,82,45,Autumn,2023,3,Q1
ORD_00173,2023-03-14,BUYER_034,Polyester_Twill,Woven,5000,4.85,24240.12,Completed,28,30,59,30,Autumn,2023,3,Q1
ORD_00174,2023-03-14,BUYER_019,Cotton_Polyester_Blend,Woven,5419,6.6,35741.2,Completed,25,37,67,45,Summer,2023,3,Q1
ORD_00175,2023-03-15,BUYER_035,Polyester_Plain,Woven,5000,3.72,18622.32,Completed,32,24,58,60,Autumn,2023,3,Q1
ORD_00176,2023-03-16,BUYER_027,Silk_Blend,Woven,3770,16.78,63271.78,Completed,30,34,71,45,Summer,2023,3,Q1
ORD_00177,2023-03-16,BUYER_041,Cotton_Denim,Woven,5747,8.03,46145.73,Shipped,43,29,76,45,Autumn,2023,3,Q1
ORD_00178,2023-03-16,BUYER_003,Polyester_Plain,Woven,5000,3.66,18309.35,Completed,32,19,57,90,Spring,2023,3,Q1
ORD_00179,2023-03-17,BUYER_028,Viscose_Rayon,Woven,5916,8.26,48888.65,Completed,17,23,44,45,Winter,2023,3,Q1
ORD_00180,2023-03-18,BUYER_032,Cotton_Twill,Woven,13375,7.37,98544.28,Completed,28,35,70,45,Winter,2023,3,Q1
ORD_00181,2023-03-18,BUYER_031,Cotton_Twill,Woven,5888,6.85,40357.9,Completed,28,25,61,30,Summer,2023,3,Q1
ORD_00182,2023-03-19,BUYER_030,Cotton_Twill,Woven,2485,7.63,18970.4,Completed,28,27,57,60,Spring,2023,3,Q1
ORD_00183,2023-03-20,BUYER_009,Cotton_Twill,Woven,3601,6.93,24948.03,Completed,28,28,55,45,Winter,2023,3,Q1
ORD_00184,2023-03-20,BUYER_002,Viscose_Rayon,Woven,2278,7.55,17198.06,Shipped,17,29,46,60,Autumn,2023,3,Q1
ORD_00185,2023-03-20,BUYER_022,Polyester_Plain,Woven,5000,3.61,18042.24,Completed,32,27,67,45,Summer,2023,3,Q1
ORD_00186,2023-03-20,BUYER_002,Silk_Blend,Woven,2906,18.6,54050.97,Completed,30,26,52,60,Spring,2023,3,Q1
ORD_00187,2023-03-20,BUYER_021,Linen,Woven,2000,11.11,22221.48,Completed,39,34,73,90,Spring,2023,3,Q1
ORD_00188,2023-03-20,BUYER_041,Polyester_Satin,Woven,3633,5.3,19255.73,Completed,41,22,66,45,Autumn,2023,3,Q1
ORD_00189,2023-03-21,BUYER_024,Cotton_Polyester_Blend,Woven,2415,6.3,15212.94,Completed,25,39,63,45,Autumn,2023,3,Q1
ORD_00190,2023-03-21,BUYER_043,Cotton_Plain,Woven,2592,7.27,18853.36,Shipped,20,29,46,90,Winter,2023,3,Q1
ORD_00191,2023-03-22,BUYER_011,Polyester_Satin,Woven,2010,5.9,11864.08,Completed,41,44,89,45,Autumn,2023,3,Q1
ORD_00192,2023-03-23,BUYER_003,Polyester_Satin,Woven,1438,5.61,8062.47,Completed,41,20,64,90,Autumn,2023,3,Q1
ORD_00193,2023-03-23,BUYER_009,Cotton_Twill,Woven,4749,7.05,33459.86,Completed,28,28,63,45,Autumn,2023,3,Q1
