Snapshot_Date,Fabric_Type,Category,Stock_Level_Kg,Unit_Cost_USD,Stock_Value_USD,Stock_Status,Year,Month,Quarter
2023-09-01,Fleece,Knit,6406,8.36,53554.16,Optimal,2023,9,Q3
2023-10-01,Cotton_Plain,Woven,9638,7.82,75369.16,Optimal,2023,10,Q4
2023-10-01,Cotton_Twill,Woven,13701,7.71,105634.71,Overstock,2023,10,Q4
2023-10-01,Cotton_Denim,Woven,4180,9.41,39333.8,Optimal,2023,10,Q4
2023-10-01,Polyester_Plain,Woven,16966,3.95,67015.7,Overstock,2023,10,Q4
2023-10-01,Polyester_Twill,Woven,14499,5.09,73799.91,Overstock,2023,10,Q4
2023-10-01,Polyester_Satin,Woven,13793,5.97,82344.21,Overstock,2023,10,Q4
2023-10-01,Cotton_Polyester_Blend,Woven,12718,7.39,93986.02,Overstock,2023,10,Q4
2023-10-01,Viscose_Rayon,Woven,4138,8.48,35090.24,Optimal,2023,10,Q4
2023-10-01,Linen,Woven,10613,12.49,132556.37,Optimal,2023,10,Q4
2023-10-01,Silk_Blend,Woven,4474,18.71,83708.54,Optimal,2023,10,Q4
2023-10-01,Terry_Cloth,Knit,6162,5.14,31672.68,Optimal,2023,10,Q4
2023-10-01,Fleece,Knit,6692,8.36,55945.12,Optimal,2023,10,Q4
2023-11-01,Cotton_Plain,Woven,12777,7.82,99916.14,Overstock,2023,11,Q4
2023-11-01,Cotton_Twill,Woven,12948,7.71,99829.08,Overstock,2023,11,Q4
2023-11-01,Cotton_Denim,Woven,5325,9.41,50108.25,Optimal,2023,11,Q4
2023-11-01,Polyester_Plain,Woven,11820,3.95,46689.0,Optimal,2023,11,Q4
2023-11-01,Polyester_Twill,Woven,10706,5.09,54493.54,Optimal,2023,11,Q4
2023-11-01,Polyester_Satin,Woven,14760,5.97,88117.2,Overstock,2023,11,Q4
2023-11-01,Cotton_Polyester_Blend,Woven,12625,7.39,93298.75,Overstock,2023,11,Q4
2023-11-01,Viscose_Rayon,Woven,8585,8.48,72800.8,Optimal,2023,11,Q4
2023-11-01,Linen,Woven,10807,12.49,134979.43,Optimal,2023,11,Q4
2023-11-01,Silk_Blend,Woven,6327,18.71,118378.17,Optimal,2023,11,Q4
2023-11-01,Terry_Cloth,Knit,10010,5.14,51451.4,Optimal,2023,11,Q4
2023-11-01,Fleece,Knit,6603,8.36,55201.08,Optimal,2023,11,Q4
2023-12-01,Cotton_Plain,Woven,13443,7.82,105124.26,Overstock,2023,12,Q4
2023-12-01,Cotton_Twill,Woven,12744,7.71,98256.24,Overstock,2023,12,Q4
2023-12-01,Cotton_Denim,Woven,7105,9.41,66858.05,Optimal,2023,12,Q4
2023-12-01,Polyester_Plain,Woven,11383,3.95,44962.85,Optimal,2023,12,Q4
2023-12-01,Polyester_Twill,Woven,14786,5.09,75260.74,Overstock,2023,12,Q4
2023-12-01,Polyester_Satin,Woven,14467,5.97,86367.99,Overstock,2023,12,Q4
2023-12-01,Cotton_Polyester_Blend,Woven,17782,7.39,131408.98,Overstock,2023,12,Q4
2023-12-01,Viscose_Rayon,Woven,9035,8.48,76616.8,Optimal,2023,12,Q4
2023-12-01,Linen,Woven,6721,12.49,83945.29,Optimal,2023,12,Q4
2023-12-01,Silk_Blend,Woven,4786,18.71,89546.06,Optimal,2023,12,Q4
2023-12-01,Terry_Cloth,Knit,5274,5.14,27108.36,Optimal,2023,12,Q4
2023-12-01,Fleece,Knit,4082,8.36,34125.52,Optimal,2023,12,Q4
2024-01-01,Cotton_Plain,Woven,9255,7.82,72374.1,Optimal,2024,1,Q1
2024-01-01,Cotton_Twill,Woven,11123,7.71,85758.33,Optimal,2024,1,Q1
2024-01-01,Cotton_Denim,Woven,6957,9.41,65465.37,Optimal,2024,1,Q1
2024-01-01,Polyester_Plain,Woven,10282,3.95,40613.9,Optimal,2024,1,Q1
2024-01-01,Polyester_Twill,Woven,8726,5.09,44415.34,Optimal,2024,1,Q1
2024-01-01,Polyester_Satin,Woven,9638,5.97,57538.86,Optimal,2024,1,Q1
2024-01-01,Cotton_Polyester_Blend,Woven,10034,7.39,74151.26,Optimal,2024,1,Q1
2024-01-01,Viscose_Rayon,Woven,6618,8.48,56120.64,Optimal,2024,1,Q1
2024-01-01,Linen,Woven,4822,12.49,60226.78,Optimal,2024,1,Q1
2024-01-01,Silk_Blend,Woven,4483,18.71,83876.93,Optimal,2024,1,Q1
2024-01-01,Terry_Cloth,Knit,6230,5.14,32022.2,Optimal,2024,1,Q1
2024-01-01,Fleece,Knit,3747,8.36,31324.92,Low_Stock,2024,1,Q1
2024-02-01,Cotton_Plain,Woven,10783,7.82,84323.06,Optimal,2024,2,Q1
2024-02-01,Cotton_Twill,Woven,9339,7.71,72003.69,Optimal,2024,2,Q1
2024-02-01,Cotton_Denim,Woven,3240,9.41,30488.4,Low_Stock,2024,2,Q1
2024-02-01,Polyester_Plain,Woven,6817,3.95,26927.15,Optimal,2024,2,Q1
2024-02-01,Polyester_Twill,Woven,6121,5.09,31155.89,Optimal,2024,2,Q1
2024-02-01,Polyester_Satin,Woven,9458,5.97,56464.26,Optimal,2024,2,Q1
2024-02-01,Cotton_Polyester_Blend,Woven,11731,7.39,86692.09,Optimal,2024,2,Q1
2024-02-01,Viscose_Rayon,Woven,5999,8.48,50871.52,Optimal,2024,2,Q1
2024-02-01,Linen,Woven,4908,12.49,61300.92,Optimal,2024,2,Q1
2024-02-01,Silk_Blend,Woven,7097,18.71,132784.87,Optimal,2024,2,Q1
2024-02-01,Terry_Cloth,Knit,4254,5.14,21865.56,Optimal,2024,2,Q1
2024-02-01,Fleece,Knit,3574,8.36,29878.64,Low_Stock,2024,2,Q1
2024-03-01,Cotton_Plain,Woven,15554,7.82,121632.28,Overstock,2024,3,Q1
2024-03-01,Cotton_Twill,Woven,12858,7.71,99135.18,Overstock,2024,3,Q1
2024-03-01,Cotton_Denim,Woven,5284,9.41,49722.44,Optimal,2024,3,Q1
2024-03-01,Polyester_Plain,Woven,13026,3.95,51452.7,Overstock,2024,3,Q1
2024-03-01,Polyester_Twill,Woven,11163,5.09,56819.67,Optimal,2024,3,Q1
2024-03-01,Polyester_Satin,Woven,11023,5.97,65807.31,Optimal,2024,3,Q1
2024-03-01,Cotton_Polyester_Blend,Woven,14291,7.39,105610.49,Overstock,2024,3,Q1
2024-03-01,Viscose_Rayon,Woven,7346,8.48,62294.08,Optimal,2024,3,Q1
2024-03-01,Linen,Woven,4819,12.49,60189.31,Optimal,2024,3,Q1
2024-03-01,Silk_Blend,Woven,7440,18.71,139202.4,Optimal,2024,3,Q1
2024-03-01,Terry_Cloth,Knit,6643,5.14,34145.02,Optimal,2024,3,Q1
2024-03-01,Fleece,Knit,3878,8.36,32420.08,Low_Stock,2024,3,Q1
2024-04-01,Cotton_Plain,Woven,16962,7.82,132642.84,Overstock,2024,4,Q2
2024-04-01,Cotton_Twill,Woven,14735,7.71,113606.85,Overstock,2024,4,Q2
2024-04-01,Cotton_Denim,Woven,5479,9.41,51557.39,Optimal,2024,4,Q2
2024-04-01,Polyester_Plain,Woven,11752,3.95,46420.4,Optimal,2024,4,Q2
2024-04-01,Polyester_Twill,Woven,10375,5.09,52808.75,Optimal,2024,4,Q2
2024-04-01,Polyester_Satin,Woven,8835,5.97,52744.95,Optimal,2024,4,Q2
2024-04-01,Cotton_Polyester_Blend,Woven,10256,7.39,75791.84,Optimal,2024,4,Q2
2024-04-01,Viscose_Rayon,Woven,6406,8.48,54322.88,Optimal,2024,4,Q2
2024-04-01,Linen,Woven,7147,12.49,89266.03,Optimal,2024,4,Q2
2024-04-01,Silk_Blend,Woven,7427,18.71,138959.17,Optimal,2024,4,Q2
2024-04-01,Terry_Cloth,Knit,6175,5.14,31739.5,Optimal,2024,4,Q2
2024-04-01,Fleece,Knit,5473,8.36,45754.28,Optimal,2024,4,Q2
2024-05-01,Cotton_Plain,Woven,13716,7.82,107259.12,Overstock,2024,5,Q2
2024-05-01,Cotton_Twill,Woven,17086,7.71,131733.06,Overstock,2024,5,Q2
2024-05-01,Cotton_Denim,Woven,5458,9.41,51359.78,Optimal,2024,5,Q2
2024-05-01,Polyester_Plain,Woven,10802,3.95,42667.9,Optimal,2024,5,Q2
2024-05-01,Polyester_Twill,Woven,10027,5.09,51037.43,Optimal,2024,5,Q2
2024-05-01,Polyester_Satin,Woven,10298,5.97,61479.06,Optimal,2024,5,Q2
2024-05-01,Cotton_Polyester_Blend,Woven,14738,7.39,108913.82,Overstock,2024,5,Q2
2024-05-01,Viscose_Rayon,Woven,8492,8.48,72012.16,Optimal,2024,5,Q2
2024-05-01,Linen,Woven,7954,12.49,99345.46,Optimal,2024,5,Q2
2024-05-01,Silk_Blend,Woven,3757,18.71,70293.47,Low_Stock,2024,5,Q2
2024-05-01,Terry_Cloth,Knit,6571,5.14,33774.94,Optimal,2024,5,Q2
2024-05-01,Fleece,Knit,5006,8.36,41850.16,Optimal,2024,5,Q2
2024-06-01,Cotton_Plain,Woven,10533,7.82,82368.06,Optimal,2024,6,Q2
2024-06-01,Cotton_Twill,Woven,9453,7.71,72882.63,Optimal,2024,6,Q2
2024-06-01,Cotton_Denim,Woven,5038,9.41,47407.58,Optimal,2024,6,Q2
2024-06-01,Polyester_Plain,Woven,6187,3.95,24438.65,Optimal,2024,6,Q2
2024-06-01,Polyester_Twill,Woven,7890,5.09,40160.1,Optimal,2024,6,Q2
2024-06-01,Polyester_Satin,Woven,7660,5.97,45730.2,Optimal,2024,6,Q2
2024-06-01,Cotton_Polyester_Blend,Woven,8341,7.39,61639.99,Optimal,2024,6,Q2
2024-06-01,Viscose_Rayon,Woven,5507,8.48,46699.36,Optimal,2024,6,Q2
2024-06-01,Linen,Woven,4867,12.49,60788.83,Optimal,2024,6,Q2
2024-06-01,Silk_Blend,Woven,5852,18.71,109490.92,Optimal,2024,6,Q2
2024-06-01,Terry_Cloth,Knit,4205,5.14,21613.7,Optimal,2024,6,Q2
2024-06-01,Fleece,Knit,3518,8.36,29410.48,Low_Stock,2024,6,Q2
2024-07-01,Cotton_Plain,Woven,11815,7.82,92393.3,Optimal,2024,7,Q3
2024-07-01,Cotton_Twill,Woven,10640,7.71,82034.4,Optimal,2024,7,Q3
2024-07-01,Cotton_Denim,Woven,5218,9.41,49101.38,Optimal,2024,7,Q3
2024-07-01,Polyester_Plain,Woven,7494,3.95,29601.3,Optimal,2024,7,Q3
2024-07-01,Polyester_Twill,Woven,6776,5.09,34489.84,Optimal,2024,7,Q3
2024-07-01,Polyester_Satin,Woven,9569,5.97,57126.93,Optimal,2024,7,Q3
2024-07-01,Cotton_Polyester_Blend,Woven,11840,7.39,87497.6,Optimal,2024,7,Q3
2024-07-01,Viscose_Rayon,Woven,2906,8.48,24642.88,Low_Stock,2024,7,Q3
2024-07-01,Linen,Woven,2645,12.49,33036.05,Low_Stock,2024,7,Q3
2024-07-01,Silk_Blend,Woven,3431,18.71,64194.01,Low_Stock,2024,7,Q3
2024-07-01,Terry_Cloth,Knit,2711,5.14,13934.54,Low_Stock,2024,7,Q3
2024-07-01,Fleece,Knit,6177,8.36,51639.72,Optimal,2024,7,Q3
2024-08-01,Cotton_Plain,Woven,10341,7.82,80866.62,Optimal,2024,8,Q3
2024-08-01,Cotton_Twill,Woven,10475,7.71,80762.25,Optimal,2024,8,Q3
2024-08-01,Cotton_Denim,Woven,2892,9.41,27213.72,Low_Stock,2024,8,Q3
2024-08-01,Polyester_Plain,Woven,7676,3.95,30320.2,Optimal,2024,8,Q3
2024-08-01,Polyester_Twill,Woven,4792,5.09,24391.28,Optimal,2024,8,Q3
2024-08-01,Polyester_Satin,Woven,7041,5.97,42034.77,Optimal,2024,8,Q3
2024-08-01,Cotton_Polyester_Blend,Woven,8551,7.39,63191.89,Optimal,2024,8,Q3
2024-08-01,Viscose_Rayon,Woven,4332,8.48,36735.36,Optimal,2024,8,Q3
2024-08-01,Linen,Woven,2966,12.49,37045.34,Low_Stock,2024,8,Q3
2024-08-01,Silk_Blend,Woven,6380,18.71,119369.8,Optimal,2024,8,Q3
2024-08-01,Terry_Cloth,Knit,3206,5.14,16478.84,Low_Stock,2024,8,Q3
2024-08-01,Fleece,Knit,5069,8.36,42376.84,Optimal,2024,8,Q3
2024-09-01,Cotton_Plain,Woven,11634,7.82,90977.88,Optimal,2024,9,Q3
2024-09-01,Cotton_Twill,Woven,14802,7.71,114123.42,Overstock,2024,9,Q3
2024-09-01,Cotton_Denim,Woven,3727,9.41,35071.07,Low_Stock,2024,9,Q3
2024-09-01,Polyester_Plain,Woven,7065,3.95,27906.75,Optimal,2024,9,Q3
2024-09-01,Polyester_Twill,Woven,10517,5.09,53531.53,Optimal,2024,9,Q3
2024-09-01,Polyester_Satin,Woven,9295,5.97,55491.15,Optimal,2024,9,Q3
2024-09-01,Cotton_Polyester_Blend,Woven,8423,7.39,62245.97,Optimal,2024,9,Q3
2024-09-01,Viscose_Rayon,Woven,7332,8.48,62175.36,Optimal,2024,9,Q3
2024-09-01,Linen,Woven,3318,12.49,41441.82,Low_Stock,2024,9,Q3
2024-09-01,Silk_Blend,Woven,3385,18.71,63333.35,Low_Stock,2024,9,Q3
2024-09-01,Terry_Cloth,Knit,6802,5.14,34962.28,Optimal,2024,9,Q3
2024-09-01,Fleece,Knit,4025,8.36,33649.0,Optimal,2024,9,Q3
2024-10-01,Cotton_Plain,Woven,22415,7.82,175285.3,Overstock,2024,10,Q4
2024-10-01,Cotton_Twill,Woven,15152,7.71,116821.92,Overstock,2024,10,Q4
2024-10-01,Cotton_Denim,Woven,5155,9.41,48508.55,Optimal,2024,10,Q4
2024-10-01,Polyester_Plain,Woven,10427,3.95,41186.65,Optimal,2024,10,Q4
2024-10-01,Polyester_Twill,Woven,15303,5.09,77892.27,Overstock,2024,10,Q4
2024-10-01,Polyester_Satin,Woven,13826,5.97,82541.22,Overstock,2024,10,Q4
2024-10-01,Cotton_Polyester_Blend,Woven,15573,7.39,115084.47,Overstock,2024,10,Q4
2024-10-01,Viscose_Rayon,Woven,4937,8.48,41865.76,Optimal,2024,10,Q4
2024-10-01,Linen,Woven,10042,12.49,125424.58,Optimal,2024,10,Q4
2024-10-01,Silk_Blend,Woven,4639,18.71,86795.69,Optimal,2024,10,Q4
2024-10-01,Terry_Cloth,Knit,4623,5.14,23762.22,Optimal,2024,10,Q4
2024-10-01,Fleece,Knit,9210,8.36,76995.6,Optimal,2024,10,Q4
2024-11-01,Cotton_Plain,Woven,18245,7.82,142675.9,Overstock,2024,11,Q4
2024-11-01,Cotton_Twill,Woven,20175,7.71,155549.25,Overstock,2024,11,Q4
2024-11-01,Cotton_Denim,Woven,5899,9.41,55509.59,Optimal,2024,11,Q4
2024-11-01,Polyester_Plain,Woven,14516,3.95,57338.2,Overstock,2024,11,Q4
2024-11-01,Polyester_Twill,Woven,13313,5.09,67763.17,Overstock,2024,11,Q4
2024-11-01,Polyester_Satin,Woven,14236,5.97,84988.92,Overstock,2024,11,Q4
2024-11-01,Cotton_Polyester_Blend,Woven,12753,7.39,94244.67,Overstock,2024,11,Q4
2024-11-01,Viscose_Rayon,Woven,7532,8.48,63871.36,Optimal,2024,11,Q4
2024-11-01,Linen,Woven,9777,12.49,122114.73,Optimal,2024,11,Q4
2024-11-01,Silk_Blend,Woven,7604,18.71,142270.84,Optimal,2024,11,Q4
2024-11-01,Terry_Cloth,Knit,6308,5.14,32423.12,Optimal,2024,11,Q4
2024-11-01,Fleece,Knit,10165,8.36,84979.4,Optimal,2024,11,Q4
2024-12-01,Cotton_Plain,Woven,17665,7.82,138140.3,Overstock,2024,12,Q4
2024-12-01,Cotton_Twill,Woven,11274,7.71,86922.54,Optimal,2024,12,Q4
2024-12-01,Cotton_Denim,Woven,3887,9.41,36576.67,Low_Stock,2024,12,Q4
2024-12-01,Polyester_Plain,Woven,13457,3.95,53155.15,Overstock,2024,12,Q4
2024-12-01,Polyester_Twill,Woven,12890,5.09,65610.1,Overstock,2024,12,Q4
2024-12-01,Polyester_Satin,Woven,15032,5.97,89741.04,Overstock,2024,12,Q4
2024-12-01,Cotton_Polyester_Blend,Woven,13996,7.39,103430.44,Overstock,2024,12,Q4
2024-12-01,Viscose_Rayon,Woven,7018,8.48,59512.64,Optimal,2024,12,Q4
2024-12-01,Linen,Woven,5156,12.49,64398.44,Optimal,2024,12,Q4
2024-12-01,Silk_Blend,Woven,11091,18.71,207512.61,Optimal,2024,12,Q4
2024-12-01,Terry_Cloth,Knit,8291,5.14,42615.74,Optimal,2024,12,Q4
2024-12-01,Fleece,Knit,4811,8.36,40219.96,Optimal,2024,12,Q4
